Date	Price	Open	High	Low	Vol.	Change %
06/08/2025	21,631.04	21,779.18	22,041.83	21,591.11	1.61B	-0.60%
06/01/2025	21,761.79	21,270.57	21,891.89	21,199.37	1.62B	1.97%
05/25/2025	21,340.99	21,201.45	21,611.54	21,032.56	1.66B	2.03%
05/18/2025	20,915.65	21,138.13	21,482.98	20,777.97	1.54B	-2.39%
05/11/2025	21,427.94	20,818.78	21,443.88	20,613.27	1.93B	6.81%
05/04/2025	20,061.45	19,928.82	20,249.76	19,605.07	1.64B	-0.20%
04/27/2025	20,102.61	19,432.72	20,176.60	19,011.98	1.78B	3.45%
04/20/2025	19,432.56	18,023.01	19,447.56	17,592.92	1.87B	6.43%
04/13/2025	18,258.09	19,095.49	19,115.15	17,995.96	1.45B	-2.31%
04/06/2025	18,690.05	16,771.77	19,234.02	16,542.20	3.60B	7.43%
03/30/2025	17,397.70	18,998.54	19,707.34	17,387.83	2.49B	-9.77%
03/23/2025	19,281.40	20,041.21	20,292.19	19,241.54	1.73B	-2.39%
03/16/2025	19,753.97	19,670.69	19,943.81	19,397.07	2.30B	0.25%
03/09/2025	19,704.64	19,826.96	19,867.08	19,152.57	2.18B	-2.46%
03/02/2025	20,201.37	20,989.58	21,073.80	19,736.81	2.16B	-3.27%
02/23/2025	20,884.41	21,669.36	21,727.58	20,407.45	2.16B	-3.38%
02/16/2025	21,614.08	22,176.01	22,222.61	21,597.16	1.41B	-2.26%
02/09/2025	22,114.69	21,670.06	22,139.43	21,454.19	1.60B	2.90%
02/02/2025	21,491.31	21,084.64	21,869.32	21,004.35	1.74B	0.06%
01/26/2025	21,478.05	21,000.17	21,846.01	20,974.90	2.20B	-1.36%
01/19/2025	21,774.01	21,557.82	21,945.48	21,379.06	1.27B	1.55%
01/12/2025	21,441.15	20,593.65	21,515.76	20,538.33	1.63B	2.85%
01/05/2025	20,847.58	21,551.18	21,703.49	20,718.78	1.38B	-2.24%
12/29/2024	21,326.16	21,189.10	21,359.63	20,800.50	1.07B	-0.68%
12/22/2024	21,473.02	21,364.26	21,837.70	21,224.27	898.84M	0.86%
12/15/2024	21,289.15	21,891.36	22,133.22	20,913.72	2.73B	-2.25%
12/08/2024	21,780.25	21,573.76	21,886.74	21,313.27	1.62B	0.73%
12/01/2024	21,622.25	20,971.76	21,626.31	20,971.76	1.57B	3.31%
11/24/2024	20,930.37	20,918.76	20,998.48	20,615.42	1.32B	0.74%
11/17/2024	20,776.23	20,450.21	20,814.93	20,401.26	1.59B	1.87%
11/10/2024	20,394.13	21,171.24	21,182.03	20,315.08	1.62B	-3.42%
11/03/2024	21,117.18	20,011.55	21,155.00	19,898.57	1.66B	5.41%
10/27/2024	20,033.14	20,455.01	20,600.10	19,880.26	1.65B	-1.57%
10/20/2024	20,352.02	20,280.49	20,552.82	19,934.92	1.31B	0.14%
10/13/2024	20,324.04	20,366.06	20,493.90	20,036.73	1.40B	0.26%
10/06/2024	20,271.97	19,954.66	20,314.24	19,763.04	1.28B	1.18%
09/29/2024	20,035.02	19,959.26	20,072.43	19,622.29	1.36B	0.13%
09/22/2024	20,008.62	19,848.71	20,273.30	19,739.67	1.50B	1.10%
09/15/2024	19,791.49	19,412.79	19,951.79	19,294.18	2.24B	1.42%
09/08/2024	19,514.59	18,579.80	19,556.80	18,469.40	1.46B	5.93%
09/01/2024	18,421.31	19,438.11	19,438.11	18,400.97	1.41B	-5.89%
08/25/2024	19,574.64	19,679.24	19,726.90	19,221.48	1.48B	-0.74%
08/18/2024	19,720.87	19,521.93	19,938.89	19,445.10	1.30B	1.09%
08/11/2024	19,508.52	18,548.23	19,561.24	18,433.61	1.52B	5.38%
08/04/2024	18,513.10	17,444.40	18,567.63	17,435.39	1.99B	0.39%
07/28/2024	18,440.85	19,122.43	19,538.97	18,263.50	2.02B	-3.06%
07/21/2024	19,023.66	19,751.02	19,904.60	18,721.71	1.66B	-2.56%
07/14/2024	19,522.62	20,401.02	20,585.17	19,479.38	1.62B	-3.98%
07/07/2024	20,331.49	20,393.89	20,690.97	20,165.00	1.44B	-0.30%
06/30/2024	20,391.97	19,720.11	20,406.99	19,577.54	1.02B	3.60%
06/23/2024	19,682.87	19,648.23	20,017.71	19,472.53	1.81B	-0.09%
06/16/2024	19,700.43	19,681.86	19,979.93	19,623.71	2.25B	0.21%
06/09/2024	19,659.80	18,945.31	19,664.59	18,940.71	1.48B	3.47%
06/02/2024	19,000.95	18,666.72	19,113.88	18,392.57	1.17B	2.50%
05/26/2024	18,536.65	18,855.15	18,875.20	18,189.78	1.31B	-1.44%
05/19/2024	18,808.35	18,559.22	18,907.54	18,549.84	1.14B	1.41%
05/12/2024	18,546.23	18,228.40	18,669.50	18,147.57	1.16B	2.12%
05/05/2024	18,161.18	17,950.98	18,247.61	17,937.28	1.09B	1.51%
04/28/2024	17,890.79	17,801.14	17,926.98	17,284.37	1.50B	0.97%
04/21/2024	17,718.30	17,161.11	17,772.78	17,010.26	1.36B	3.99%
04/14/2024	17,037.65	18,143.26	18,152.08	16,973.94	1.28B	-5.36%
04/07/2024	18,003.49	18,130.44	18,337.15	17,932.41	1.18B	-0.58%
03/31/2024	18,108.46	18,280.82	18,391.58	17,875.75	1.24B	-0.80%
